CustomerKey,First Name,Last Name,Full Name,GENDER,EmailAddress,Address,Date FirstPurchase,Phone,Customer City
11037,Chloe,Garcia,Chloe Garcia,FEMALE,chloe27@adventure-works.com,8915 Woodside Way,2023-01-20,229-555-0112,Cliffside
11038,Diana,Hernandez,Diana Hernandez,FEMALE,diana2@adventure-works.com,8357 Sandy Cove Lane,2021-02-07,1 (11) 500 555-0114,Lavender Bay
11039,Marc,Martin,Marc Martin,MALE,marc3@adventure-works.com,9353 Creekside Dr.,2021-02-07,1 (11) 500 555-0183,Wollongong
11040,Jesse,Murphy,Jesse Murphy,MALE,jesse15@adventure-works.com,3350 Kingswood Circle,2023-04-03,961-555-0176,Tacoma
11041,Amanda,Carter,Amanda Carter,FEMALE,amanda53@adventure-works.com,5826 Escobar,2023-01-14,295-555-0145,Glendale
11042,Megan,Sanchez,Megan Sanchez,FEMALE,megan28@adventure-works.com,1397 Paraiso Ct.,2023-01-21,404-555-0199,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,MALE,nathan11@adventure-works.com,1170 Shaw Rd,2023-05-08,296-555-0181,Glendale
11044,Adam,Flores,Adam Flores,MALE,adam10@adventure-works.com,6935 Candle Dr,2021-02-28,1 (11) 500 555-0163,Hervey Bay
11045,Leonard,Nara,Leonard Nara,MALE,leonard18@adventure-works.com,7466 La Vista Ave.,2023-04-10,1 (11) 500 555-0151,Matraville
11046,Christine,Yuan,Christine Yuan,FEMALE,christine4@adventure-works.com,2356 Orange St,2021-02-06,1 (11) 500 555-0113,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,FEMALE,jaclyn12@adventure-works.com,2812 Mazatlan,2021-02-03,1 (11) 500 555-0137,Geelong
11048,Jeremy,Powell,Jeremy Powell,MALE,jeremy26@adventure-works.com,1803 Potomac Dr.,2021-02-10,1 (11) 500 555-0183,Sunbury
11049,Carol,Rai,Carol Rai,FEMALE,carol8@adventure-works.com,6064 Madrid,2023-03-09,654-555-0180,Chula Vista
11050,Alan,Zheng,Alan Zheng,MALE,alan23@adventure-works.com,2741 Gainborough Dr.,2021-02-20,1 (11) 500 555-0135,Hobart
11051,Daniel,Johnson,Daniel Johnson,MALE,daniel18@adventure-works.com,8085 Sunnyvale Avenue,2023-12-29,1 (11) 500 555-0155,Caloundra
11052,Heidi,Lopez,Heidi Lopez,FEMALE,heidi19@adventure-works.com,2514 Via Cordona,2021-02-17,1 (11) 500 555-0168,Matraville
11053,Ana,Price,Ana Price,FEMALE,ana0@adventure-works.com,1660 Stonyhill Circle,2023-01-17,859-555-0113,San Diego
11054,Deanna,Munoz,Deanna Munoz,FEMALE,deanna33@adventure-works.com,5825 B Way,2021-02-03,1 (11) 500 555-0192,Geelong
11055,Gilbert,Raje,Gilbert Raje,MALE,gilbert35@adventure-works.com,8811 The Trees Dr.,2021-01-31,1 (11) 500 555-0129,East Brisbane
11056,Michele,Nath,Michele Nath,FEMALE,michele19@adventure-works.com,5464 Janin Pl.,2021-02-26,1 (11) 500 555-0178,Newcastle
11057,Carl,Andersen,Carl Andersen,MALE,carl12@adventure-works.com,6930 Lake Nadine Place,2021-02-22,1 (11) 500 555-0181,Lane Cove
11058,Marc,Diaz,Marc Diaz,MALE,marc6@adventure-works.com,6645 Sinaloa,2021-03-09,1 (11) 500 555-0149,Findon
11059,Ashlee,Andersen,Ashlee Andersen,FEMALE,ashlee19@adventure-works.com,8255 Highland Road,2023-02-18,1 (11) 500 555-0112,Townsville
11060,Jon,Zhou,Jon Zhou,MALE,jon28@adventure-works.com,6574 Hemlock Ave.,2021-03-19,1 (11) 500 555-0174,Warrnambool
11061,Todd,Gao,Todd Gao,MALE,todd14@adventure-works.com,8808 Geneva Ave,2021-03-13,1 (11) 500 555-0191,Gold Coast
11062,Noah,Powell,Noah Powell,MALE,noah5@adventure-works.com,9794 Marion Ct,2023-01-07,767-555-0113,Portland
11063,Angela,Murphy,Angela Murphy,FEMALE,angela41@adventure-works.com,4927 Virgil Street,2023-01-12,451-555-0162,Redmond
11064,Chase,Reed,Chase Reed,MALE,chase21@adventure-works.com,2721 Alexander Pl.,2023-01-25,892-555-0184,Downey
11065,Jessica,Henderson,Jessica Henderson,FEMALE,jessica29@adventure-works.com,9343 Ironwood Way,2023-02-10,278-555-0186,La Jolla
11066,Grace,Butler,Grace Butler,FEMALE,grace62@adventure-works.com,4739 Garden Ave.,2023-05-31,712-555-0141,Lebanon
11067,Caleb,Carter,Caleb Carter,MALE,caleb40@adventure-works.com,9563 Pennsylvania Blvd.,2023-08-18,944-555-0167,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,FEMALE,tiffany17@adventure-works.com,3608 Sinclair Avenue,2023-04-30,1 (11) 500 555-0177,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,FEMALE,carolyn30@adventure-works.com,4606 Springwood Court,2021-04-17,1 (11) 500 555-0145,Gold Coast
11070,Willie,Raji,Willie Raji,MALE,willie40@adventure-works.com,6260 Vernal Drive,2021-04-28,1 (11) 500 555-0151,Sunbury
11071,Linda,Serrano,Linda Serrano,FEMALE,linda31@adventure-works.com,9808 Shaw Rd.,2023-03-01,1 (11) 500 555-0130,Hawthorne
11072,Casey,Luo,Casey Luo,FEMALE,casey6@adventure-works.com,9513 Roslyn Drive,2021-03-31,1 (11) 500 555-0125,St. Leonards
11073,Amy,Ye,Amy Ye,FEMALE,amy16@adventure-works.com,2262 Kirkwood Ct.,2023-03-23,1 (11) 500 555-0185,Springwood
11074,Levi,Arun,Levi Arun,MALE,levi6@adventure-works.com,4661 Bluetail,2023-03-23,1 (11) 500 555-0127,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,FEMALE,felicia4@adventure-works.com,786 Eastgate Ave,2021-04-28,1 (11) 500 555-0165,Bendigo
11076,Blake,Anderson,Blake Anderson,MALE,blake9@adventure-works.com,5436 Clear,2021-04-21,1 (11) 500 555-0113,Wollongong
11077,Leah,Ye,Leah Ye,FEMALE,leah7@adventure-works.com,1291 Arguello Blvd.,2021-04-15,1 (11) 500 555-0154,Melton
11078,Gina,Martin,Gina Martin,FEMALE,gina1@adventure-works.com,1349 Sol St.,2023-02-15,196-555-0114,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,MALE,donald20@adventure-works.com,4236 Malibu Place,2023-03-15,1 (11) 500 555-0137,Geelong
11080,Damien,Chander,Damien Chander,MALE,damien32@adventure-works.com,9941 Stonehedge Dr.,2021-04-10,1 (11) 500 555-0111,Perth
11081,Savannah,Baker,Savannah Baker,FEMALE,savannah39@adventure-works.com,1210 Trafalgar Circle,2023-02-12,478-555-0117,Concord
11082,Angela,Butler,Angela Butler,FEMALE,angela17@adventure-works.com,6040 Listing Ct,2023-01-22,579-555-0195,Fremont
11083,Alyssa,Cox,Alyssa Cox,FEMALE,alyssa37@adventure-works.com,867 La Orinda Place,2023-01-06,561-555-0140,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,MALE,lucas7@adventure-works.com,8668 St. Celestine Court,2023-01-04,863-555-0172,Lebanon
11085,Emily,Johnson,Emily Johnson,FEMALE,emily1@adventure-works.com,7926 Stephanie Way,2023-12-06,850-555-0184,Newport Beach
11086,Ryan,Brown,Ryan Brown,MALE,ryan43@adventure-works.com,2939 Wesley Ct.,2023-07-02,539-555-0198,Santa Monica
11087,Tamara,Liang,Tamara Liang,FEMALE,tamara6@adventure-works.com,3791 Rossmor Parkway,2023-02-25,178-555-0152,Chula Vista
11088,Hunter,Davis,Hunter Davis,MALE,hunter64@adventure-works.com,4308 Sand Pointe Lane,2023-01-13,612-555-0141,San Diego
11089,Abigail,Price,Abigail Price,FEMALE,abigail25@adventure-works.com,2685 Blackburn Ct,2022-12-29,532-555-0117,Long Beach
11090,Trevor,Bryant,Trevor Bryant,MALE,trevor18@adventure-works.com,5781 Sharon Dr.,2021-08-07,853-555-0174,Los Angeles
11091,Dalton,Perez,Dalton Perez,MALE,dalton37@adventure-works.com,6083 San Jose,2023-01-29,559-555-0115,Haney
11092,Cheryl,Diaz,Cheryl Diaz,FEMALE,cheryl4@adventure-works.com,7297 Kaywood Drive,2021-04-08,1 (11) 500 555-0192,East Brisbane
11093,Aimee,He,Aimee He,FEMALE,aimee13@adventure-works.com,1833 Olympic Drive,2021-04-07,1 (11) 500 555-0161,Wollongong
11094,Cedric,Ma,Cedric Ma,MALE,cedric15@adventure-works.com,3407 Oak Brook Place,2023-04-07,1 (11) 500 555-0115,Cranbourne
11095,Chad,Kumar,Chad Kumar,MALE,chad9@adventure-works.com,1681 Lighthouse Way,2021-04-01,1 (11) 500 555-0151,Port Macquarie
11096,Andrés,Anand,Andrés Anand,MALE,andrés18@adventure-works.com,5423 Los Gatos Ct.,2021-04-11,1 (11) 500 555-0184,North Sydney
11097,Edwin,Nara,Edwin Nara,MALE,edwin39@adventure-works.com,719 William Way,2021-04-04,1 (11) 500 555-0112,Warrnambool
11098,Mallory,Rubio,Mallory Rubio,FEMALE,mallory7@adventure-works.com,6452 Harris Circle,2023-02-11,1 (11) 500 555-0157,Rhodes
11099,Adam,Ross,Adam Ross,MALE,adam2@adventure-works.com,4378 Westminster Place,2021-04-07,1 (11) 500 555-0186,Port Macquarie
11100,Latasha,Navarro,Latasha Navarro,FEMALE,latasha10@adventure-works.com,6954 Ranch Road,2021-04-16,1 (11) 500 555-0123,Cloverdale
11101,Abby,Sai,Abby Sai,FEMALE,abby4@adventure-works.com,7074 N. Spoonwood Court,2021-04-29,1 (11) 500 555-0174,Cranbourne
11102,Julia,Nelson,Julia Nelson,FEMALE,julia7@adventure-works.com,2196 Coat Ct.,2023-07-16,1 (11) 500 555-0124,Sydney
11103,Cassie,Chande,Cassie Chande,FEMALE,cassie13@adventure-works.com,9448 San Marino Ct.,2021-04-15,1 (11) 500 555-0166,Darlinghurst
11104,Edgar,Sara,Edgar Sara,MALE,edgar11@adventure-works.com,6127 Lilly Lane,2021-05-04,1 (11) 500 555-0125,Gold Coast
11105,Candace,Fernandez,Candace Fernandez,FEMALE,candace15@adventure-works.com,5029 Blue Ridge,2021-05-14,1 (11) 500 555-0162,Matraville
11106,Jessie,Liu,Jessie Liu,MALE,jessie9@adventure-works.com,3063 Blue Jay Drive,2021-05-18,1 (11) 500 555-0163,Warrnambool
11107,Bianca,Lin,Bianca Lin,FEMALE,bianca7@adventure-works.com,7530 Eola,2021-05-01,1 (11) 500 555-0121,St. Leonards
11108,Kari,Alvarez,Kari Alvarez,FEMALE,kari25@adventure-works.com,9178 Thornhill Place,2021-05-03,1 (11) 500 555-0169,Port Macquarie
11109,Ruben,Kapoor,Ruben Kapoor,MALE,ruben1@adventure-works.com,1984 Glendale Circle,2021-05-10,1 (11) 500 555-0132,South Melbourne
11110,Curtis,Yang,Curtis Yang,MALE,curtis5@adventure-works.com,4052 Mt. Wilson Way,2021-05-01,1 (11) 500 555-0127,Darlinghurst
11111,Meredith,Gutierrez,Meredith Gutierrez,FEMALE,meredith34@adventure-works.com,7610 Northridge Ct.,2021-05-20,1 (11) 500 555-0179,Geelong
11112,Crystal,Wang,Crystal Wang,FEMALE,crystal3@adventure-works.com,2773 Kirkwood Dr,2021-05-25,1 (11) 500 555-0134,Hervey Bay
11113,Micheal,Blanco,Micheal Blanco,MALE,micheal11@adventure-works.com,596 Marfargoa Drive,2023-02-01,1 (11) 500 555-0131,Perth
11114,Leslie,Moreno,Leslie Moreno,FEMALE,leslie7@adventure-works.com,7941 Cristobal,2023-03-18,1 (11) 500 555-0115,Rhodes
11115,Alvin,Cai,Alvin Cai,MALE,alvin20@adventure-works.com,7759 Azalea Avenue,2023-02-10,1 (11) 500 555-0191,St. Leonards
11116,Clinton,Carlson,Clinton Carlson,MALE,clinton14@adventure-works.com,7943 Cunha Ct.,2023-03-15,1 (11) 500 555-0184,Sydney
11117,April,Deng,April Deng,FEMALE,april1@adventure-works.com,485 Ash Lane,2021-05-06,1 (11) 500 555-0182,Matraville
11118,Alvin,Zeng,Alvin Zeng,MALE,alvin21@adventure-works.com,3853 Wildcat Circle,2023-07-10,1 (11) 500 555-0174,Lavender Bay
11119,Evan,James,Evan James,MALE,evan8@adventure-works.com,4157 Sierra Ridge,2023-02-03,1 (11) 500 555-0187,Port Macquarie
11120,Beth,Jiménez,Beth Jiménez,FEMALE,beth8@adventure-works.com,7401 Las Palmas,2021-05-14,1 (11) 500 555-0164,Sydney
11121,Orlando,Suarez,Orlando Suarez,MALE,orlando19@adventure-works.com,7743 Hames Dr,2023-06-24,1 (11) 500 555-0198,Newcastle
11122,Byron,Vazquez,Byron Vazquez,MALE,byron9@adventure-works.com,3187 Hackamore Lane,2023-02-21,1 (11) 500 555-0136,North Sydney
11123,Philip,Alvarez,Philip Alvarez,MALE,philip4@adventure-works.com,2775 Mt. Olivet Pl.,2023-04-17,1 (11) 500 555-0191,Sunbury
11124,Ross,Jordan,Ross Jordan,MALE,ross1@adventure-works.com,6973 Dublin Court,2021-05-05,1 (11) 500 555-0126,Warrnambool
11125,Dana,Navarro,Dana Navarro,FEMALE,dana2@adventure-works.com,8481 Zartop Street,2023-01-31,1 (11) 500 555-0172,Seaford
11126,Shaun,Carson,Shaun Carson,MALE,shaun16@adventure-works.com,57 Wolf Way,2021-05-28,1 (11) 500 555-0155,North Ryde
11127,Jan,Edwards,Jan Edwards,FEMALE,jan11@adventure-works.com,9409 The Alameda,2023-04-10,111-555-0118,San Gabriel
11128,Samantha,Long,Samantha Long,FEMALE,samantha35@adventure-works.com,1606 Alderwood Lane,2023-06-19,175-555-0139,Renton
11129,Julia,Wright,Julia Wright,FEMALE,julia17@adventure-works.com,7397 Central Blvd.,2021-08-06,456-555-0174,Sedro Woolley
11130,Caroline,Russell,Caroline Russell,FEMALE,caroline21@adventure-works.com,3884 Bates Court,2023-12-09,424-555-0137,Lebanon
11131,Amanda,Rivera,Amanda Rivera,FEMALE,amanda7@adventure-works.com,9573 Royal Oak Rd.,2023-10-18,918-555-0126,Haney
11132,Melissa,Richardson,Melissa Richardson,FEMALE,melissa31@adventure-works.com,6832 Fruitwood Dr,2023-04-09,928-555-0118,Langford
11133,Angela,Griffin,Angela Griffin,FEMALE,angela23@adventure-works.com,3828 Baltic Sea Ct,2023-12-30,598-555-0174,Lake Oswego
11134,Larry,Townsend,Larry Townsend,MALE,larry14@adventure-works.com,7034 Carson,2021-05-03,1 (11) 500 555-0130,Perth
11135,Marcus,Harris,Marcus Harris,MALE,marcus14@adventure-works.com,9068 Quiet Place Drive,2023-04-18,442-555-0119,Burlingame
11136,Brianna,Morgan,Brianna Morgan,FEMALE,brianna30@adventure-works.com,9005 Eagle Ct.,2023-01-03,954-555-0117,Metchosin
11137,Jasmine,Taylor,Jasmine Taylor,FEMALE,jasmine7@adventure-works.com,2457 Matterhorn Court,2023-07-31,557-555-0146,Spokane
11138,Lauren,Davis,Lauren Davis,FEMALE,lauren23@adventure-works.com,8105 Pembrook Court,2023-09-19,832-555-0121,Glendale
11139,Tanya,Moreno,Tanya Moreno,FEMALE,tanya2@adventure-works.com,6155 Wilbur Drive,2023-09-14,1 (11) 500 555-0185,Cloverdale
11140,Javier,Alvarez,Javier Alvarez,MALE,javier1@adventure-works.com,8935 Etcheverry Dr.,2023-03-19,763-555-0134,Burbank
11141,Nicole,Ramirez,Nicole Ramirez,FEMALE,nicole42@adventure-works.com,1101 C Street,2023-05-16,152-555-0162,Daly City
11142,Eduardo,Patterson,Eduardo Patterson,MALE,eduardo55@adventure-works.com,6255 Macalvey Dr.,2023-02-13,190-555-0184,Langford
11143,Jonathan,Henderson,Jonathan Henderson,MALE,jonathan4@adventure-works.com,165 East Lane Road,2023-06-15,149-555-0113,Lakewood
11144,Edward,Hernandez,Edward Hernandez,MALE,edward48@adventure-works.com,7607 Pine Hollow Road,2023-01-25,178-555-0196,Ballard
11145,Jasmine,Coleman,Jasmine Coleman,FEMALE,jasmine46@adventure-works.com,1961 Oak Grove Road,2023-01-25,857-555-0115,Beaverton
11146,Karla,Goel,Karla Goel,FEMALE,karla20@adventure-works.com,3272 Corrie Lane,2023-02-05,1 (11) 500 555-0137,Matraville
11147,Ernest,Wu,Ernest Wu,MALE,ernest6@adventure-works.com,1832 RiverRock Dr,2021-05-13,1 (11) 500 555-0139,Warrnambool
11148,Ross,Vazquez,Ross Vazquez,MALE,ross32@adventure-works.com,1201 Paso Del Rio Way,2023-03-07,1 (11) 500 555-0163,East Brisbane
11149,Theodore,Gill,Theodore Gill,MALE,theodore14@adventure-works.com,9120 Pinewood Court,2023-06-04,1 (11) 500 555-0194,Hervey Bay
11150,Russell,Shen,Russell Shen,MALE,russell6@adventure-works.com,4755 Easley Drive,2023-03-27,1 (11) 500 555-0191,Sunbury
11151,Melinda,Gill,Melinda Gill,FEMALE,melinda9@adventure-works.com,805 Rainier Dr.,2021-05-15,1 (11) 500 555-0117,Sydney
11152,James,Williams,James Williams,MALE,james77@adventure-works.com,6827 Seagull Court,2023-01-09,355-555-0153,Puyallup
11153,Angela,James,Angela James,FEMALE,angela34@adventure-works.com,8877 Weatherly Drive,2023-03-29,847-555-0111,Renton
11154,Megan,Walker,Megan Walker,FEMALE,megan25@adventure-works.com,6898 Holiday Hills,2023-01-10,918-555-0186,Woodburn
11155,Hunter,Robinson,Hunter Robinson,MALE,hunter50@adventure-works.com,8356 Mori Court,2023-01-06,891-555-0125,Burbank
11156,Maria,Roberts,Maria Roberts,FEMALE,maria47@adventure-works.com,9452 Mariposa Ct.,2023-01-08,158-555-0199,Lakewood
11157,Hannah,Long,Hannah Long,FEMALE,hannah32@adventure-works.com,1832 Preston Ct.,2023-07-24,974-555-0177,Tacoma
11158,Jason,Wright,Jason Wright,MALE,jason46@adventure-works.com,6771 Bundros Court,2023-01-19,694-555-0176,San Gabriel
11159,Brianna,Hughes,Brianna Hughes,FEMALE,brianna57@adventure-works.com,6793 Bonifacio St.,2023-09-08,319-555-0183,Woodland Hills
11160,Maurice,Tang,Maurice Tang,MALE,maurice4@adventure-works.com,2886 Chaparral Court,2023-02-21,947-555-0172,Concord
11161,Emily,Wood,Emily Wood,FEMALE,emily27@adventure-works.com,1562 Black Walnut,2023-06-01,184-555-0114,Concord
11162,Chase,Cox,Chase Cox,MALE,chase10@adventure-works.com,P.O. Box 8070,2023-02-18,764-555-0116,La Jolla
11163,Gabriel,Wang,Gabriel Wang,MALE,gabriel21@adventure-works.com,8002 Crane Court,2023-05-01,617-555-0150,Spring Valley
11164,Devin,Brooks,Devin Brooks,MALE,devin63@adventure-works.com,4231 Highland Dr.,2023-04-27,502-555-0138,Torrance
11165,Jocelyn,Alexander,Jocelyn Alexander,FEMALE,jocelyn18@adventure-works.com,3376 Bank Way,2023-05-25,354-555-0134,Oakland
11166,Ashley,Martinez,Ashley Martinez,FEMALE,ashley18@adventure-works.com,6993 Whyte Park Ave.,2023-10-14,131-555-0194,Olympia
11167,Jasmine,Barnes,Jasmine Barnes,FEMALE,jasmine43@adventure-works.com,9183 Via Del Sol,2023-01-07,178-555-0156,Issaquah
11168,David,Rodriguez,David Rodriguez,MALE,david83@adventure-works.com,38 Shangri-la Rd.,2023-01-15,730-555-0128,Oakland
11169,Bryce,Richardson,Bryce Richardson,MALE,bryce8@adventure-works.com,1841 Blackwood Drive,2023-05-26,178-555-0176,Coronado
11170,Carol,Howard,Carol Howard,FEMALE,carol5@adventure-works.com,6281 Edward Ave,2023-08-26,845-555-0127,Burien
11171,Jonathan,Hill,Jonathan Hill,MALE,jonathan43@adventure-works.com,3731 Chinquapin Ct,2021-08-20,134-555-0196,Woodland Hills
11172,Gabrielle,Adams,Gabrielle Adams,FEMALE,gabrielle58@adventure-works.com,5621 Arcadia Pl.,2023-05-03,403-555-0152,Lynnwood
11173,Sarah,Thomas,Sarah Thomas,FEMALE,sarah13@adventure-works.com,5636 Mt. Whitney Dr.,2023-03-02,868-555-0188,W. Linn
11174,Nicholas,Robinson,Nicholas Robinson,MALE,nicholas19@adventure-works.com,1318 Lasalle Street,2023-07-13,949-555-0138,Los Angeles
11175,Luis,Wang,Luis Wang,MALE,luis24@adventure-works.com,6943 Patterson Blvd.,2021-08-28,418-555-0127,Beverly Hills
11176,Mason,Roberts,Mason Roberts,MALE,mason25@adventure-works.com,5753 Megan Dr.,2023-02-02,539-555-0162,Haney
11177,Jose,Flores,Jose Flores,MALE,jose6@adventure-works.com,3991 Rambling Rose Drive,2023-03-29,157-555-0182,San Diego
11178,Nathan,Johnson,Nathan Johnson,MALE,nathan55@adventure-works.com,8927 Daylight Place,2023-02-21,117-555-0182,Lakewood
11179,Molly,Rodriguez,Molly Rodriguez,FEMALE,molly18@adventure-works.com,5556 Riverland Dr.,2023-03-12,135-555-0185,Beverly Hills
11180,April,Anand,April Anand,FEMALE,april18@adventure-works.com,3531 Brookview Drive,2023-03-17,702-555-0144,Chula Vista
11181,Devin,Martin,Devin Martin,MALE,devin13@adventure-works.com,1085 Greenbelt Way,2023-05-07,735-555-0197,Los Angeles
11182,Stephanie,Torres,Stephanie Torres,FEMALE,stephanie19@adventure-works.com,6968 Mildred Ln.,2023-08-28,567-555-0176,Sedro Woolley
11183,Jasmine,Lee,Jasmine Lee,FEMALE,jasmine19@adventure-works.com,7502 Contuti Avenue,2023-04-30,147-555-0199,Santa Cruz
11184,Meghan,Hernandez,Meghan Hernandez,FEMALE,meghan3@adventure-works.com,5872 L St.,2023-08-10,967-555-0188,Concord
11185,Ashley,Henderson,Ashley Henderson,FEMALE,ashley31@adventure-works.com,8834 San Jose Ave.,2023-02-21,173-555-0121,Metchosin
11186,Sarah,Price,Sarah Price,FEMALE,sarah25@adventure-works.com,4815 Paraiso Ct.,2023-10-18,180-555-0133,Palo Alto
11187,Jennifer,Cooper,Jennifer Cooper,FEMALE,jennifer63@adventure-works.com,2429 Longview Road,2023-04-03,857-555-0111,Burien
11188,Catherine,Morris,Catherine Morris,FEMALE,catherine16@adventure-works.com,6542 Stonewood Drive,2023-11-01,795-555-0117,San Gabriel
11189,Lawrence,Blanco,Lawrence Blanco,MALE,lawrence14@adventure-works.com,7502 Contuti Avenue,2021-08-26,656-555-0171,Bellingham
11190,Carson,Bryant,Carson Bryant,MALE,carson17@adventure-works.com,2995 Youngsdale Dr.,2023-08-28,240-555-0142,Beverly Hills
